UID,iso3,CountryName,Region
AL031,ALB,Albania,Berat
AL011,ALB,Albania,Dibër
AL012,ALB,Albania,Durrës
AL021,ALB,Albania,Elbasan
AL032,ALB,Albania,Fier
AL033,ALB,Albania,Gjirokastër
AL034,ALB,Albania,Korçe
AL013,ALB,Albania,Kukës
AL014,ALB,Albania,Lezhë
AL015,ALB,Albania,Shkodër
AL022,ALB,Albania,Tiranë
AL035,ALB,Albania,Vlorë
AD,AND,Andorra,Andorra
AM,ARM,Armenia,Armenia
AT11,AUT,Austria,Burgenland
AT21,AUT,Austria,Kärnten
AT12,AUT,Austria,Niederösterreich
AT31,AUT,Austria,Oberösterreich
AT32,AUT,Austria,Salzburg
AT22,AUT,Austria,Steiermark
AT33,AUT,Austria,Tirol
AT34,AUT,Austria,Vorarlberg
AT13,AUT,Austria,Wien
AZ,AZE,Azerbaijan,Azerbaijan
BE1,BEL,Belgium,Brussels
BE2,BEL,Belgium,Flanders
BE3,BEL,Belgium,Wallonia
BG413,BGR,Bulgaria,Blagoevgrad
BG341,BGR,Bulgaria,Burgas
BG332,BGR,Bulgaria,Dobrich
BG322,BGR,Bulgaria,Gabrovo
BG422,BGR,Bulgaria,Haskovo
BG425,BGR,Bulgaria,Kardzhali
BG415,BGR,Bulgaria,Kyustendil
BG315,BGR,Bulgaria,Lovech
BG312,BGR,Bulgaria,Montana
BG423,BGR,Bulgaria,Pazardzhik
BG414,BGR,Bulgaria,Pernik
BG314,BGR,Bulgaria,Pleven
BG421,BGR,Bulgaria,Plovdiv
BG324,BGR,Bulgaria,Razgrad
BG323,BGR,Bulgaria,Ruse
BG333,BGR,Bulgaria,Shumen
BG325,BGR,Bulgaria,Silistra
BG342,BGR,Bulgaria,Sliven
BG424,BGR,Bulgaria,Smolyan
BG411,BGR,Bulgaria,Sofia City
BG412,BGR,Bulgaria,Sofia Region
BG344,BGR,Bulgaria,Stara Zagora
BG334,BGR,Bulgaria,Targovishte
BG331,BGR,Bulgaria,Varna
BG321,BGR,Bulgaria,Veliko Tarnovo
BG311,BGR,Bulgaria,Vidin
BG313,BGR,Bulgaria,Vratsa
BG343,BGR,Bulgaria,Yambol
BAx020,BIH,Bosnia and Herzegovina,Banja Luka
BAx001,BIH,Bosnia and Herzegovina,Bosansko-podrinski
BAx012,BIH,Bosnia and Herzegovina,Brčko District
BAx021,BIH,Bosnia and Herzegovina,Doboj-Bijeljina
BAx002,BIH,Bosnia and Herzegovina,Hercegovačko-neretvanski
BAx022,BIH,Bosnia and Herzegovina,Istočno Sarajevo-Zvornik
BAx003,BIH,Bosnia and Herzegovina,Kanton 10
BAx004,BIH,Bosnia and Herzegovina,Kanton Sarajevo
BAx005,BIH,Bosnia and Herzegovina,Posavski
BAx007,BIH,Bosnia and Herzegovina,Srednjobosanski
BAx023,BIH,Bosnia and Herzegovina,Trebinje-Foča
BAx008,BIH,Bosnia and Herzegovina,Tuzlanski
BAx009,BIH,Bosnia and Herzegovina,Unsko-sanski
BAx010,BIH,Bosnia and Herzegovina,Zapadno-hercegovački
BAx011,BIH,Bosnia and Herzegovina,Zeničko-dobojski
BY,BLR,Belarus,Belarus
CH033,CHE,Switzerland,Aargau
CH053,CHE,Switzerland,Appenzell Ausserrhoden
CH054,CHE,Switzerland,Appenzell Innerrhoden
CH031,CHE,Switzerland,Basel City
CH032,CHE,Switzerland,Basel Country
CH021,CHE,Switzerland,Bern
CH022,CHE,Switzerland,Fribourg
CH013,CHE,Switzerland,Geneva
CH051,CHE,Switzerland,Glarus
CH056,CHE,Switzerland,Graubünden
CH025,CHE,Switzerland,Jura
CH061,CHE,Switzerland,Lucerne
CH024,CHE,Switzerland,Neuchâtel
